Organization : org1
Data frequency : 15 minutes
<year><month><day><hour><minute>, <energy declaration in MWh <energy production in MWh>
202201040915, 128, 70
202201040930, 127, 95
202201040945, 110, 93
202201041000, 120, 82
202201041015, 119, 83
202201041030, 105, 88
202201041045, 104, 82
202201041100, 107, 76
202201041115, 113, 89
202201041130, 105, 81
202201041145, 125, 93
202201041200, 115, 89
202201041215, 112, 92
202201041230, 116, 93
202201041245, 117, 93
202201041300, 127, 81
202201041315, 114, 80
202201041330, 116, 93
202201041345, 122, 95
202201041400, 115, 89
202201041415, 109, 88
202201041430, 113, 99
202201041445, 109, 82
202201041500, 102, 71
202201041515, 101, 84
202201041530, 102, 76
202201041545, 125, 70
202201041600, 100, 74
202201041615, 109, 93
202201041630, 102, 81
202201041645, 127, 74
202201041700, 106, 91
202201041715, 127, 74
202201041730, 112, 96
202201041745, 109, 70
202201041800, 119, 77
202201041815, 127, 94
202201041830, 115, 82
202201041845, 104, 99
202201041900, 100, 74
202201041915, 116, 83
202201041930, 112, 98
202201041945, 111, 94
202201042000, 128, 81
202201042015, 109, 92
202201042030, 128, 87
202201042045, 103, 85
202201042100, 118, 78
202201042115, 123, 88
202201042130, 108, 74
202201042145, 122, 83
202201042200, 113, 90
202201042215, 127, 90
202201042230, 121, 95
202201042245, 127, 87
202201042300, 111, 80
202201042315, 108, 93
202201042330, 117, 73
202201042345, 114, 95
202201050000, 128, 70
202201050015, 124, 89
202201050030, 121, 93
202201050045, 109, 98
202201050100, 110, 83
202201050115, 108, 90
202201050130, 126, 83
202201050145, 101, 86
202201050200, 124, 90
202201050215, 102, 92
202201050230, 105, 82
202201050245, 117, 96
202201050300, 113, 78
202201050315, 117, 83
202201050330, 106, 98
202201050345, 127, 92
202201050400, 110, 86
202201050415, 120, 91
202201050430, 101, 99
202201050445, 115, 93
202201050500, 114, 85
202201050515, 118, 77
202201050530, 121, 93
202201050545, 128, 85
202201050600, 111, 75
202201050615, 109, 76
202201050630, 106, 99
202201050645, 116, 81
202201050700, 106, 95
202201050715, 123, 85
202201050730, 108, 98
202201050745, 112, 97
202201050800, 117, 94
202201050815, 109, 71
202201050830, 116, 80
202201050845, 121, 77
202201050900, 114, 98
202201050915, 128, 80
202201050930, 127, 90
202201050945, 103, 71
202201051000, 126, 77
202201051015, 115, 96
202201051030, 128, 78
202201051045, 122, 75
202201051100, 122, 96
202201051115, 113, 73
202201051130, 105, 97
202201051145, 121, 90
202201051200, 125, 82
202201051215, 124, 72
202201051230, 109, 96
202201051245, 126, 77
202201051300, 123, 80
202201051315, 110, 73
202201051330, 104, 90
202201051345, 127, 73
202201051400, 122, 81
202201051415, 128, 94
202201051430, 108, 84
202201051445, 100, 98
202201051500, 108, 71
202201051515, 107, 98
202201051530, 108, 81
202201051545, 104, 90
202201051600, 121, 70
202201051615, 127, 95
202201051630, 115, 90
202201051645, 106, 77
202201051700, 103, 96
202201051715, 110, 98
202201051730, 111, 83
202201051745, 100, 71
202201051800, 110, 95
202201051815, 119, 80
202201051830, 104, 77
202201051845, 128, 75
202201051900, 110, 72
202201051915, 103, 72
202201051930, 108, 99
202201051945, 106, 76
202201052000, 100, 80
202201052015, 99, 87
202201052030, 113, 95
202201052045, 121, 86
202201052100, 120, 86
202201052115, 109, 73
202201052130, 104, 70
202201052145, 116, 98
202201052200, 115, 76
202201052215, 107, 74
202201052230, 108, 70
202201052245, 120, 92
202201052300, 106, 97
202201052315, 106, 74
202201052330, 126, 81
202201052345, 113, 91
202201060000, 118, 93
202201060015, 128, 78
202201060030, 114, 80
202201060045, 124, 87
202201060100, 116, 91
202201060115, 113, 85
202201060130, 127, 71
202201060145, 122, 74
202201060200, 122, 89
202201060215, 111, 70
202201060230, 114, 78
202201060245, 118, 74
202201060300, 110, 91
202201060315, 118, 70
202201060330, 110, 85
202201060345, 104, 91
202201060400, 119, 81
202201060415, 126, 96
202201060430, 122, 79
202201060445, 123, 97
202201060500, 105, 83
202201060515, 127, 71
202201060530, 107, 82
202201060545, 120, 72
202201060600, 122, 72
202201060615, 122, 80
202201060630, 100, 71
202201060645, 119, 94
202201060700, 108, 73
202201060715, 101, 98
202201060730, 109, 89
202201060745, 112, 88
202201060800, 107, 91
202201060815, 120, 99
202201060830, 122, 86
202201060845, 103, 70
202201060900, 114, 71
202201060915, 112, 97
202201060930, 105, 71
202201060945, 121, 79
202201061000, 121, 96
202201061015, 100, 75
202201061030, 109, 72
202201061045, 120, 73
202201061100, 111, 88
202201061115, 125, 92
202201061130, 118, 98
202201061145, 100, 98
202201061200, 101, 93
202201061215, 125, 94
202201061230, 120, 84
202201061245, 104, 93
202201061300, 104, 75
202201061315, 109, 78
202201061330, 99, 73
202201061345, 124, 99
202201061400, 113, 89
202201061415, 100, 76
202201061430, 112, 77
202201061445, 119, 89
202201061500, 120, 80
202201061515, 125, 70
202201061530, 108, 73
202201061545, 102, 90
202201061600, 104, 83
202201061615, 113, 74
202201061630, 123, 84
202201061645, 126, 83
202201061700, 111, 98
202201061715, 127, 83
202201061730, 122, 87
202201061745, 102, 74
202201061800, 123, 79
202201061815, 100, 96
202201061830, 102, 96
202201061845, 105, 75
202201061900, 123, 97
202201061915, 114, 86
202201061930, 125, 79
202201061945, 116, 92
202201062000, 121, 79
202201062015, 117, 87
202201062030, 122, 97
202201062045, 105, 76
202201062100, 118, 75
202201062115, 103, 91
202201062130, 117, 94
202201062145, 121, 81
202201062200, 119, 85
202201062215, 112, 73
202201062230, 119, 74
202201062245, 109, 84
202201062300, 106, 80
202201062315, 123, 94
202201062330, 109, 89
202201062345, 121, 76
202201070000, 111, 96
202201070015, 119, 84
202201070030, 104, 84
202201070045, 111, 72
202201070100, 106, 94
202201070115, 104, 88
202201070130, 113, 89
202201070145, 110, 90
202201070200, 119, 71
202201070215, 106, 98
202201070230, 120, 98
202201070245, 115, 88
202201070300, 109, 81
202201070315, 116, 84
202201070330, 100, 94
202201070345, 104, 99
202201070400, 115, 74
202201070415, 107, 85
202201070430, 114, 99
202201070445, 107, 81
202201070500, 102, 84
202201070515, 105, 77
202201070530, 128, 82
202201070545, 128, 71
202201070600, 100, 73
202201070615, 110, 95
202201070630, 106, 96
202201070645, 108, 70
202201070700, 121, 99
202201070715, 102, 76
202201070730, 103, 98
202201070745, 127, 91
202201070800, 107, 78
202201070815, 107, 97
202201070830, 128, 95
202201070845, 120, 86
202201070900, 117, 73
202201070915, 120, 91
202201070930, 127, 75
202201070945, 112, 81
202201071000, 126, 71
202201071015, 109, 88
202201071030, 115, 74
202201071045, 122, 86
202201071100, 121, 78
202201071115, 116, 74
202201071130, 113, 86
202201071145, 119, 93
202201071200, 122, 91
202201071215, 105, 97
202201071230, 127, 88
202201071245, 119, 90
202201071300, 121, 79
202201071315, 100, 89
202201071330, 125, 97
202201071345, 100, 99
202201071400, 104, 84
202201071415, 114, 91
202201071430, 128, 85
202201071445, 109, 91
202201071500, 128, 70
202201071515, 110, 75
202201071530, 125, 89
202201071545, 102, 94
202201071600, 126, 91
202201071615, 99, 93
202201071630, 125, 96
202201071645, 113, 80
202201071700, 120, 85
202201071715, 125, 93
202201071730, 115, 78
202201071745, 114, 80
202201071800, 101, 92
202201071815, 123, 88
202201071830, 100, 98
202201071845, 122, 74
202201071900, 128, 73
202201071915, 99, 88
202201071930, 124, 98
202201071945, 101, 91
202201072000, 107, 97
202201072015, 128, 84
202201072030, 115, 81
202201072045, 100, 77
202201072100, 127, 91
202201072115, 115, 99
202201072130, 102, 96
202201072145, 105, 72
202201072200, 126, 77
202201072215, 106, 82
202201072230, 103, 73
202201072245, 118, 97
202201072300, 111, 75
202201072315, 124, 93
202201072330, 103, 78
202201072345, 112, 71
202201080000, 124, 73
202201080015, 123, 96
202201080030, 107, 93
202201080045, 99, 71
202201080100, 118, 83
202201080115, 110, 90
202201080130, 119, 80
202201080145, 114, 73
202201080200, 122, 87
202201080215, 118, 73
202201080230, 108, 82
202201080245, 112, 83
202201080300, 110, 93
202201080315, 107, 88
202201080330, 115, 79
202201080345, 100, 86
202201080400, 105, 97
202201080415, 101, 82
202201080430, 102, 99
202201080445, 109, 86
202201080500, 102, 92
202201080515, 101, 81
202201080530, 99, 74
202201080545, 101, 82
202201080600, 99, 71
202201080615, 105, 85
202201080630, 116, 72
202201080645, 109, 95
202201080700, 119, 89
202201080715, 105, 71
202201080730, 102, 88
202201080745, 116, 91
202201080800, 122, 78
202201080815, 117, 81
202201080830, 101, 95
202201080845, 121, 98
202201080900, 109, 95
202201080915, 101, 71
202201080930, 115, 89
202201080945, 109, 97
202201081000, 110, 86
202201081015, 104, 93
202201081030, 110, 77
202201081045, 99, 92
202201081100, 127, 70
202201081115, 124, 85
202201081130, 107, 98
202201081145, 123, 78
202201081200, 124, 73
202201081215, 115, 89
202201081230, 124, 78
202201081245, 109, 91
202201081300, 124, 75
202201081315, 115, 78
202201081330, 123, 95
202201081345, 114, 91
202201081400, 125, 95
202201081415, 121, 73
202201081430, 99, 75
202201081445, 123, 87
202201081500, 105, 87
202201081515, 112, 78
202201081530, 127, 80
202201081545, 126, 81
202201081600, 104, 86
202201081615, 115, 73
202201081630, 100, 80
202201081645, 115, 99
202201081700, 99, 81
202201081715, 112, 75
202201081730, 126, 93
202201081745, 101, 71
202201081800, 113, 89
202201081815, 108, 74
202201081830, 111, 96
202201081845, 112, 95
202201081900, 128, 86
202201081915, 126, 74
202201081930, 122, 87
202201081945, 117, 70
202201082000, 100, 71
202201082015, 116, 76
202201082030, 106, 96
202201082045, 107, 79
202201082100, 105, 76
202201082115, 109, 89
202201082130, 111, 93
202201082145, 115, 75
202201082200, 112, 80
202201082215, 119, 73
202201082230, 106, 89
202201082245, 109, 94
202201082300, 103, 99
202201082315, 100, 77
202201082330, 99, 99
202201082345, 125, 74
202201090000, 115, 96
202201090015, 109, 80
202201090030, 100, 90
202201090045, 101, 97
202201090100, 113, 80
202201090115, 102, 75
202201090130, 99, 85
202201090145, 116, 90
202201090200, 112, 92
202201090215, 101, 93
202201090230, 112, 97
202201090245, 105, 73
202201090300, 117, 74
202201090315, 114, 94
202201090330, 118, 96
202201090345, 105, 86
202201090400, 100, 79
202201090415, 103, 86
202201090430, 111, 97
202201090445, 127, 75
202201090500, 127, 94
202201090515, 124, 98
202201090530, 120, 71
202201090545, 124, 78
202201090600, 127, 94
202201090615, 123, 85
202201090630, 116, 72
202201090645, 115, 78
202201090700, 100, 95
202201090715, 107, 70
202201090730, 122, 99
202201090745, 117, 70
202201090800, 117, 72
202201090815, 114, 74
202201090830, 121, 97
202201090845, 113, 85
202201090900, 105, 73
202201090915, 128, 94
202201090930, 125, 92
202201090945, 126, 73
202201091000, 116, 77
202201091015, 109, 91
202201091030, 124, 99
202201091045, 119, 94
202201091100, 121, 70
202201091115, 116, 78
202201091130, 102, 70
202201091145, 100, 77
202201091200, 102, 71
202201091215, 116, 85
202201091230, 125, 70
202201091245, 102, 77
202201091300, 103, 91
202201091315, 102, 85
202201091330, 126, 72
202201091345, 117, 88
202201091400, 103, 88
202201091415, 105, 83
202201091430, 127, 94
202201091445, 110, 79
202201091500, 111, 93
202201091515, 122, 91
202201091530, 125, 98
202201091545, 127, 77
202201091600, 106, 97
202201091615, 104, 84
202201091630, 111, 75
202201091645, 120, 90
202201091700, 112, 79
202201091715, 101, 71
202201091730, 99, 91
202201091745, 104, 72
202201091800, 99, 83
202201091815, 118, 78
202201091830, 117, 75
202201091845, 121, 86
202201091900, 118, 77
202201091915, 110, 80
202201091930, 101, 96
202201091945, 106, 82
202201092000, 104, 86
202201092015, 112, 97
202201092030, 110, 83
202201092045, 99, 71
202201092100, 110, 75
202201092115, 122, 77
202201092130, 104, 71
202201092145, 117, 96
202201092200, 112, 98
202201092215, 111, 93
202201092230, 117, 85
202201092245, 112, 92
202201092300, 110, 96
202201092315, 126, 87
202201092330, 116, 77
202201092345, 116, 71
202201100000, 121, 91
202201100015, 102, 97
202201100030, 100, 93
202201100045, 99, 97
202201100100, 106, 98
202201100115, 104, 71
202201100130, 100, 98
202201100145, 112, 75
202201100200, 125, 84
202201100215, 111, 94
202201100230, 126, 86
202201100245, 124, 79
202201100300, 110, 80
202201100315, 104, 97
202201100330, 121, 95
202201100345, 99, 70
202201100400, 115, 82
202201100415, 106, 72
202201100430, 126, 99
202201100445, 102, 75
202201100500, 128, 97
202201100515, 118, 90
202201100530, 123, 83
202201100545, 112, 83
202201100600, 105, 98
202201100615, 120, 79
202201100630, 124, 76
202201100645, 122, 92
202201100700, 124, 88
202201100715, 101, 83
202201100730, 101, 85
202201100745, 105, 92
202201100800, 106, 82
202201100815, 121, 82
202201100830, 100, 96
202201100845, 127, 98
202201100900, 105, 89
202201100915, 101, 76
202201100930, 123, 88
202201100945, 104, 82
202201101000, 124, 75
202201101015, 124, 89
202201101030, 111, 78
202201101045, 116, 76
202201101100, 126, 88
202201101115, 119, 75
202201101130, 126, 71
202201101145, 99, 78
202201101200, 118, 76
202201101215, 119, 76
202201101230, 112, 92
202201101245, 115, 80
202201101300, 109, 81
202201101315, 106, 74
202201101330, 107, 85
202201101345, 111, 75
202201101400, 101, 85
202201101415, 102, 73
202201101430, 113, 87
202201101445, 122, 70
202201101500, 102, 79
202201101515, 100, 93
202201101530, 104, 98
202201101545, 99, 89
202201101600, 123, 82
202201101615, 119, 86
202201101630, 125, 72
202201101645, 105, 98
202201101700, 103, 76
202201101715, 125, 87
202201101730, 120, 87
202201101745, 114, 85
202201101800, 111, 77
202201101815, 121, 98
202201101830, 126, 77
202201101845, 119, 96
202201101900, 118, 83
202201101915, 126, 74
202201101930, 123, 96
202201101945, 105, 99
202201102000, 103, 74
202201102015, 102, 85
202201102030, 102, 75
202201102045, 102, 87
202201102100, 127, 92
202201102115, 124, 86
202201102130, 115, 99
202201102145, 128, 81
202201102200, 128, 86
202201102215, 111, 70
202201102230, 124, 70
202201102245, 109, 89
202201102300, 106, 95
202201102315, 120, 86
202201102330, 102, 74
202201102345, 106, 97
202201110000, 113, 72
202201110015, 102, 86
202201110030, 111, 87
202201110045, 127, 88
202201110100, 125, 84
202201110115, 107, 92
202201110130, 103, 72
202201110145, 124, 81
202201110200, 118, 98
202201110215, 107, 99
202201110230, 104, 83
202201110245, 109, 81
202201110300, 115, 83
202201110315, 107, 81
202201110330, 121, 79
202201110345, 102, 98
202201110400, 115, 94
202201110415, 117, 85
202201110430, 99, 98
202201110445, 109, 82
202201110500, 120, 82
202201110515, 127, 74
202201110530, 113, 73
202201110545, 110, 95
202201110600, 113, 99
202201110615, 101, 72
202201110630, 102, 75
202201110645, 112, 93
202201110700, 126, 83
202201110715, 102, 91
202201110730, 103, 94
202201110745, 119, 98
202201110800, 124, 80
202201110815, 101, 88
202201110830, 120, 75
202201110845, 107, 76
202201110900, 105, 71
202201110915, 124, 81
202201110930, 116, 77
202201110945, 100, 76
202201111000, 99, 87
202201111015, 125, 91
202201111030, 127, 95
202201111045, 106, 70
202201111100, 123, 90
202201111115, 117, 99
202201111130, 106, 99
202201111145, 123, 93
202201111200, 116, 98
202201111215, 128, 87
202201111230, 123, 81
202201111245, 122, 82
202201111300, 125, 91
202201111315, 115, 85
202201111330, 103, 90
202201111345, 114, 73
202201111400, 105, 72
202201111415, 113, 81
202201111430, 127, 92
202201111445, 120, 72
202201111500, 117, 93
202201111515, 108, 78
202201111530, 110, 83
202201111545, 120, 70
202201111600, 116, 84
202201111615, 118, 72
202201111630, 108, 85
202201111645, 119, 78
202201111700, 118, 84
202201111715, 125, 85
202201111730, 119, 70
202201111745, 103, 70
202201111800, 101, 98
202201111815, 115, 87
202201111830, 120, 74
202201111845, 106, 96
202201111900, 114, 74
202201111915, 117, 86
202201111930, 100, 76
202201111945, 102, 89
202201112000, 111, 96
202201112015, 114, 78
202201112030, 102, 74
202201112045, 122, 70
202201112100, 119, 79
202201112115, 127, 89
202201112130, 108, 98
202201112145, 119, 87
202201112200, 119, 92
202201112215, 111, 80
202201112230, 126, 86
202201112245, 113, 88
202201112300, 113, 71
202201112315, 111, 77
202201112330, 113, 79
202201112345, 114, 90
202201120000, 119, 77
202201120015, 112, 85
202201120030, 117, 92
202201120045, 125, 73
202201120100, 108, 96
202201120115, 121, 83
202201120130, 102, 97
202201120145, 125, 72
202201120200, 116, 85
202201120215, 101, 86
202201120230, 109, 96
202201120245, 127, 96
202201120300, 121, 82
202201120315, 106, 77
202201120330, 121, 86
202201120345, 121, 95
202201120400, 114, 77
202201120415, 117, 95
202201120430, 122, 82
202201120445, 124, 88
202201120500, 105, 94
202201120515, 127, 91
202201120530, 100, 78
202201120545, 127, 90
202201120600, 118, 85
202201120615, 115, 94
202201120630, 113, 84
202201120645, 123, 91
202201120700, 104, 85
202201120715, 108, 75
202201120730, 116, 90
202201120745, 121, 79
202201120800, 103, 77
202201120815, 111, 81
202201120830, 106, 94
202201120845, 111, 90
202201120900, 105, 86
202201120915, 101, 70
202201120930, 115, 76
202201120945, 118, 83
202201121000, 118, 99
202201121015, 106, 92
202201121030, 117, 91
202201121045, 99, 73
202201121100, 115, 98
202201121115, 104, 76
202201121130, 109, 80
202201121145, 114, 72
202201121200, 119, 71
202201121215, 104, 73
202201121230, 121, 73
202201121245, 99, 99
202201121300, 126, 96
202201121315, 119, 96
202201121330, 110, 74
202201121345, 111, 87
202201121400, 99, 83
202201121415, 105, 93
202201121430, 112, 79
202201121445, 107, 93
202201121500, 123, 74
202201121515, 127, 84
202201121530, 122, 71
202201121545, 108, 79
202201121600, 100, 92
202201121615, 104, 79
202201121630, 111, 96
202201121645, 122, 96
202201121700, 102, 74
202201121715, 126, 89
202201121730, 121, 92
202201121745, 123, 90
202201121800, 126, 85
202201121815, 122, 79
202201121830, 99, 81
202201121845, 115, 83
202201121900, 118, 79
202201121915, 103, 70
202201121930, 117, 71
202201121945, 127, 79
202201122000, 115, 88
202201122015, 117, 81
202201122030, 111, 89
202201122045, 121, 80
202201122100, 119, 88
202201122115, 107, 78
202201122130, 111, 86
202201122145, 114, 75
202201122200, 124, 98
202201122215, 110, 97
202201122230, 99, 99
202201122245, 114, 97
202201122300, 126, 85
202201122315, 119, 85
202201122330, 119, 81
202201122345, 112, 96
202201130000, 109, 81
202201130015, 119, 75
202201130030, 111, 72
202201130045, 111, 90
202201130100, 123, 84
202201130115, 105, 97
202201130130, 120, 96
202201130145, 107, 75
202201130200, 120, 99
202201130215, 124, 86
202201130230, 110, 85
202201130245, 115, 79
202201130300, 115, 76
202201130315, 109, 85
202201130330, 110, 78
202201130345, 115, 96
202201130400, 125, 81
202201130415, 117, 93
202201130430, 105, 93
202201130445, 106, 84
202201130500, 101, 88
202201130515, 120, 97
202201130530, 110, 86
202201130545, 118, 72
202201130600, 123, 77
202201130615, 125, 75
202201130630, 112, 80
202201130645, 121, 71
202201130700, 112, 93
202201130715, 101, 98
202201130730, 114, 91
202201130745, 127, 97
202201130800, 122, 86
202201130815, 119, 94
202201130830, 124, 73
202201130845, 107, 98
202201130900, 111, 83
202201130915, 128, 87
202201130930, 121, 92
202201130945, 106, 73
202201131000, 116, 87
202201131015, 118, 89
202201131030, 112, 94
202201131045, 105, 71
202201131100, 114, 96
202201131115, 121, 75
202201131130, 111, 85
202201131145, 108, 79
202201131200, 115, 90
202201131215, 113, 88
202201131230, 106, 95
202201131245, 121, 89
202201131300, 121, 72
202201131315, 100, 91
202201131330, 113, 97
202201131345, 128, 99
202201131400, 102, 72
202201131415, 99, 88
202201131430, 123, 78
202201131445, 102, 91
202201131500, 128, 91
202201131515, 102, 88
202201131530, 120, 93
202201131545, 104, 88
202201131600, 122, 94
202201131615, 126, 86
202201131630, 109, 90
202201131645, 114, 86
202201131700, 124, 76
202201131715, 110, 80
202201131730, 124, 72
202201131745, 99, 98
202201131800, 104, 72
202201131815, 114, 84
202201131830, 118, 72
202201131845, 117, 85
202201131900, 128, 79
202201131915, 103, 84
202201131930, 114, 92
202201131945, 100, 91
202201132000, 123, 86
202201132015, 109, 99
202201132030, 125, 89
202201132045, 105, 96
202201132100, 101, 92
202201132115, 122, 74
202201132130, 108, 75
202201132145, 120, 97
202201132200, 123, 76
202201132215, 111, 86
202201132230, 108, 77
202201132245, 100, 90
202201132300, 102, 71
202201132315, 122, 91
202201132330, 113, 91
202201132345, 113, 96
202201140000, 109, 85
202201140015, 127, 72
202201140030, 116, 85
202201140045, 108, 85
202201140100, 116, 86
202201140115, 116, 78
202201140130, 100, 79
202201140145, 114, 81
202201140200, 121, 86
202201140215, 123, 86
202201140230, 119, 92
202201140245, 125, 79
202201140300, 107, 90
202201140315, 114, 79
