Organization : org2
Data frequency : 15 minutes
<year><month><day><hour><minute>, <energy production power in MW>
202101042115, 191
202101042130, 176
202101042145, 186
202101042200, 175
202101042215, 170
202101042230, 175
202101042245, 176
202101042300, 182
202101042315, 184
202101042330, 181
202101042345, 199
202101050000, 193
202101050015, 182
202101050030, 180
202101050045, 183
202101050100, 171
202101050115, 184
202101050130, 191
202101050145, 181
202101050200, 199
202101050215, 175
202101050230, 189
202101050245, 199
202101050300, 172
202101050315, 183
202101050330, 179
202101050345, 171
202101050400, 195
202101050415, 191
202101050430, 178
202101050445, 171
202101050500, 195
202101050515, 193
202101050530, 180
202101050545, 185
202101050600, 186
202101050615, 197
202101050630, 178
202101050645, 191
202101050700, 184
202101050715, 185
202101050730, 179
202101050745, 186
202101050800, 180
202101050815, 189
202101050830, 199
202101050845, 195
202101050900, 183
202101050915, 197
202101050930, 177
202101050945, 170
202101051000, 184
202101051015, 196
202101051030, 170
202101051045, 199
202101051100, 174
202101051115, 175
202101051130, 198
202101051145, 194
202101051200, 175
202101051215, 188
202101051230, 195
202101051245, 193
202101051300, 178
202101051315, 177
202101051330, 174
202101051345, 172
202101051400, 189
202101051415, 173
202101051430, 175
202101051445, 197
202101051500, 184
202101051515, 178
202101051530, 170
202101051545, 179
202101051600, 192
202101051615, 192
202101051630, 178
202101051645, 189
202101051700, 192
202101051715, 187
202101051730, 179
202101051745, 191
202101051800, 177
202101051815, 189
202101051830, 173
202101051845, 172
202101051900, 172
202101051915, 177
202101051930, 193
202101051945, 192
202101052000, 191
202101052015, 195
202101052030, 199
202101052045, 189
202101052100, 196
202101052115, 199
202101052130, 171
202101052145, 174
202101052200, 199
202101052215, 186
202101052230, 173
202101052245, 188
202101052300, 197
202101052315, 197
202101052330, 194
202101052345, 179
202101060000, 177
202101060015, 188
202101060030, 175
202101060045, 189
202101060100, 181
202101060115, 178
202101060130, 187
202101060145, 192
202101060200, 174
202101060215, 190
202101060230, 170
202101060245, 177
202101060300, 184
202101060315, 173
202101060330, 185
202101060345, 172
202101060400, 175
202101060415, 196
202101060430, 187
202101060445, 175
202101060500, 181
202101060515, 185
202101060530, 197
202101060545, 182
202101060600, 188
202101060615, 195
202101060630, 186
202101060645, 176
202101060700, 189
202101060715, 189
202101060730, 198
202101060745, 195
202101060800, 193
202101060815, 194
202101060830, 180
202101060845, 199
202101060900, 197
202101060915, 199
202101060930, 190
202101060945, 187
202101061000, 170
202101061015, 176
202101061030, 198
202101061045, 171
202101061100, 176
202101061115, 172
202101061130, 184
202101061145, 171
202101061200, 174
202101061215, 170
202101061230, 179
202101061245, 198
202101061300, 192
202101061315, 196
202101061330, 183
202101061345, 182
202101061400, 194
202101061415, 189
202101061430, 177
202101061445, 179
202101061500, 172
202101061515, 199
202101061530, 177
202101061545, 198
202101061600, 189
202101061615, 174
202101061630, 194
202101061645, 199
202101061700, 189
202101061715, 182
202101061730, 193
202101061745, 182
202101061800, 188
202101061815, 171
202101061830, 186
202101061845, 175
202101061900, 177
202101061915, 175
202101061930, 185
202101061945, 192
202101062000, 189
202101062015, 173
202101062030, 193
202101062045, 185
202101062100, 174
202101062115, 190
202101062130, 170
202101062145, 186
202101062200, 188
202101062215, 181
202101062230, 188
202101062245, 174
202101062300, 197
202101062315, 193
202101062330, 199
202101062345, 173
202101070000, 188
202101070015, 196
202101070030, 190
202101070045, 199
202101070100, 196
202101070115, 170
202101070130, 195
202101070145, 177
202101070200, 189
202101070215, 187
202101070230, 188
202101070245, 173
202101070300, 179
202101070315, 196
202101070330, 184
202101070345, 194
202101070400, 182
202101070415, 194
202101070430, 173
202101070445, 183
202101070500, 186
202101070515, 186
202101070530, 195
202101070545, 196
202101070600, 195
202101070615, 198
202101070630, 184
202101070645, 199
202101070700, 195
202101070715, 174
202101070730, 188
202101070745, 192
202101070800, 191
202101070815, 176
202101070830, 195
202101070845, 193
202101070900, 186
202101070915, 189
202101070930, 187
202101070945, 170
202101071000, 180
202101071015, 185
202101071030, 180
202101071045, 193
202101071100, 198
202101071115, 177
202101071130, 196
202101071145, 173
202101071200, 188
202101071215, 194
202101071230, 191
202101071245, 178
202101071300, 182
202101071315, 183
202101071330, 194
202101071345, 178
202101071400, 184
202101071415, 174
202101071430, 184
202101071445, 182
202101071500, 183
202101071515, 190
202101071530, 183
202101071545, 183
202101071600, 197
202101071615, 197
202101071630, 195
202101071645, 171
202101071700, 171
202101071715, 195
202101071730, 176
202101071745, 189
202101071800, 199
202101071815, 182
202101071830, 181
202101071845, 197
202101071900, 179
202101071915, 175
202101071930, 190
202101071945, 190
202101072000, 179
202101072015, 173
202101072030, 192
202101072045, 185
202101072100, 186
202101072115, 190
202101072130, 187
202101072145, 182
202101072200, 191
202101072215, 194
202101072230, 180
202101072245, 173
202101072300, 180
202101072315, 193
202101072330, 190
202101072345, 184
202101080000, 186
202101080015, 172
202101080030, 191
202101080045, 188
202101080100, 183
202101080115, 173
202101080130, 198
202101080145, 172
202101080200, 170
202101080215, 192
202101080230, 172
202101080245, 198
202101080300, 198
202101080315, 177
202101080330, 183
202101080345, 179
202101080400, 173
202101080415, 183
202101080430, 175
202101080445, 191
202101080500, 178
202101080515, 179
202101080530, 171
202101080545, 177
202101080600, 177
202101080615, 199
202101080630, 187
202101080645, 186
202101080700, 174
202101080715, 176
202101080730, 195
202101080745, 199
202101080800, 172
202101080815, 193
202101080830, 172
202101080845, 171
202101080900, 183
202101080915, 190
202101080930, 170
202101080945, 188
202101081000, 182
202101081015, 196
202101081030, 178
202101081045, 191
202101081100, 196
202101081115, 182
202101081130, 188
202101081145, 174
202101081200, 176
202101081215, 190
202101081230, 193
202101081245, 184
202101081300, 180
202101081315, 183
202101081330, 180
202101081345, 196
202101081400, 192
202101081415, 174
202101081430, 181
202101081445, 184
202101081500, 187
202101081515, 196
202101081530, 190
202101081545, 184
202101081600, 199
202101081615, 195
202101081630, 178
202101081645, 181
202101081700, 184
202101081715, 175
202101081730, 187
202101081745, 171
202101081800, 184
202101081815, 197
202101081830, 186
202101081845, 178
202101081900, 190
202101081915, 186
202101081930, 199
202101081945, 195
202101082000, 178
202101082015, 174
202101082030, 199
202101082045, 193
202101082100, 197
202101082115, 172
202101082130, 174
202101082145, 188
202101082200, 180
202101082215, 178
202101082230, 193
202101082245, 190
202101082300, 199
202101082315, 185
202101082330, 181
202101082345, 192
202101090000, 180
202101090015, 182
202101090030, 193
202101090045, 196
202101090100, 176
202101090115, 186
202101090130, 182
202101090145, 175
202101090200, 199
202101090215, 171
202101090230, 188
202101090245, 186
202101090300, 197
202101090315, 184
202101090330, 183
202101090345, 198
202101090400, 190
202101090415, 173
202101090430, 178
202101090445, 188
202101090500, 172
202101090515, 174
202101090530, 193
202101090545, 196
202101090600, 195
202101090615, 170
202101090630, 183
202101090645, 175
202101090700, 178
202101090715, 184
202101090730, 173
202101090745, 189
202101090800, 179
202101090815, 171
202101090830, 180
202101090845, 188
202101090900, 185
202101090915, 199
202101090930, 174
202101090945, 178
202101091000, 198
202101091015, 176
202101091030, 196
202101091045, 192
202101091100, 182
202101091115, 181
202101091130, 194
202101091145, 193
202101091200, 178
202101091215, 176
202101091230, 176
202101091245, 188
202101091300, 185
202101091315, 182
202101091330, 191
202101091345, 199
202101091400, 173
202101091415, 172
202101091430, 184
202101091445, 186
202101091500, 182
202101091515, 179
202101091530, 185
202101091545, 177
202101091600, 191
202101091615, 181
202101091630, 183
202101091645, 199
202101091700, 189
202101091715, 184
202101091730, 196
202101091745, 175
202101091800, 193
202101091815, 185
202101091830, 198
202101091845, 192
202101091900, 189
202101091915, 191
202101091930, 185
202101091945, 185
202101092000, 172
202101092015, 197
202101092030, 193
202101092045, 174
202101092100, 198
202101092115, 192
202101092130, 188
202101092145, 195
202101092200, 185
202101092215, 181
202101092230, 184
202101092245, 199
202101092300, 182
202101092315, 194
202101092330, 171
202101092345, 189
202101100000, 181
202101100015, 187
202101100030, 194
202101100045, 189
202101100100, 186
202101100115, 190
202101100130, 189
202101100145, 189
202101100200, 176
202101100215, 190
202101100230, 197
202101100245, 176
202101100300, 180
202101100315, 190
202101100330, 189
202101100345, 186
202101100400, 179
202101100415, 178
202101100430, 178
202101100445, 178
202101100500, 176
202101100515, 172
202101100530, 193
202101100545, 178
202101100600, 174
202101100615, 197
202101100630, 174
202101100645, 187
202101100700, 179
202101100715, 185
202101100730, 182
202101100745, 172
202101100800, 173
202101100815, 178
202101100830, 187
202101100845, 171
202101100900, 185
202101100915, 188
202101100930, 185
202101100945, 188
202101101000, 179
202101101015, 195
202101101030, 182
202101101045, 189
202101101100, 195
202101101115, 179
202101101130, 188
202101101145, 172
202101101200, 170
202101101215, 197
202101101230, 197
202101101245, 171
202101101300, 190
202101101315, 187
202101101330, 178
202101101345, 171
202101101400, 171
202101101415, 172
202101101430, 178
202101101445, 187
202101101500, 189
202101101515, 186
202101101530, 171
202101101545, 197
202101101600, 188
202101101615, 183
202101101630, 199
202101101645, 194
202101101700, 197
202101101715, 181
202101101730, 193
202101101745, 195
202101101800, 193
202101101815, 178
202101101830, 193
202101101845, 187
202101101900, 198
202101101915, 181
202101101930, 197
202101101945, 193
202101102000, 182
202101102015, 177
202101102030, 187
202101102045, 179
202101102100, 184
202101102115, 192
202101102130, 183
202101102145, 177
202101102200, 192
202101102215, 178
202101102230, 188
202101102245, 181
202101102300, 195
202101102315, 182
202101102330, 173
202101102345, 191
202101110000, 198
202101110015, 194
202101110030, 196
202101110045, 197
202101110100, 194
202101110115, 197
202101110130, 198
202101110145, 185
202101110200, 179
202101110215, 177
202101110230, 174
202101110245, 185
202101110300, 196
202101110315, 183
202101110330, 181
202101110345, 195
202101110400, 192
202101110415, 191
202101110430, 196
202101110445, 184
202101110500, 199
202101110515, 190
202101110530, 192
202101110545, 190
202101110600, 173
202101110615, 183
202101110630, 189
202101110645, 197
202101110700, 192
202101110715, 185
202101110730, 187
202101110745, 196
202101110800, 194
202101110815, 170
202101110830, 181
202101110845, 177
202101110900, 189
202101110915, 187
202101110930, 180
202101110945, 193
202101111000, 192
202101111015, 172
202101111030, 195
202101111045, 190
202101111100, 190
202101111115, 192
202101111130, 177
202101111145, 194
202101111200, 195
202101111215, 179
202101111230, 171
202101111245, 183
202101111300, 197
202101111315, 170
202101111330, 187
202101111345, 173
202101111400, 173
202101111415, 172
202101111430, 181
202101111445, 191
202101111500, 177
202101111515, 175
202101111530, 172
202101111545, 190
202101111600, 196
202101111615, 171
202101111630, 193
202101111645, 199
202101111700, 174
202101111715, 184
202101111730, 197
202101111745, 177
202101111800, 181
202101111815, 171
202101111830, 178
202101111845, 188
202101111900, 178
202101111915, 188
202101111930, 194
202101111945, 176
202101112000, 189
202101112015, 182
202101112030, 179
202101112045, 171
202101112100, 179
202101112115, 187
202101112130, 193
202101112145, 196
202101112200, 189
202101112215, 183
202101112230, 176
202101112245, 197
202101112300, 198
202101112315, 195
202101112330, 170
202101112345, 197
202101120000, 176
202101120015, 177
202101120030, 173
202101120045, 194
202101120100, 197
202101120115, 187
202101120130, 186
202101120145, 185
202101120200, 176
202101120215, 189
202101120230, 192
202101120245, 183
202101120300, 189
202101120315, 172
202101120330, 183
202101120345, 181
202101120400, 173
202101120415, 192
202101120430, 187
202101120445, 182
202101120500, 182
202101120515, 178
202101120530, 184
202101120545, 189
202101120600, 170
202101120615, 189
202101120630, 193
202101120645, 176
202101120700, 185
202101120715, 195
202101120730, 174
202101120745, 186
202101120800, 188
202101120815, 172
202101120830, 183
202101120845, 173
202101120900, 176
202101120915, 176
202101120930, 183
202101120945, 176
202101121000, 182
202101121015, 177
202101121030, 199
202101121045, 197
202101121100, 176
202101121115, 192
202101121130, 184
202101121145, 187
202101121200, 191
202101121215, 178
202101121230, 174
202101121245, 196
202101121300, 185
202101121315, 196
202101121330, 179
202101121345, 193
202101121400, 181
202101121415, 186
202101121430, 186
202101121445, 185
202101121500, 197
202101121515, 184
202101121530, 172
202101121545, 172
202101121600, 179
202101121615, 196
202101121630, 174
202101121645, 185
202101121700, 177
202101121715, 188
202101121730, 174
202101121745, 198
202101121800, 184
202101121815, 179
202101121830, 179
202101121845, 195
202101121900, 195
202101121915, 186
202101121930, 193
202101121945, 172
202101122000, 192
202101122015, 175
202101122030, 183
202101122045, 193
202101122100, 180
202101122115, 196
202101122130, 180
202101122145, 196
202101122200, 183
202101122215, 176
202101122230, 187
202101122245, 182
202101122300, 195
202101122315, 197
202101122330, 179
202101122345, 191
202101130000, 177
202101130015, 174
202101130030, 199
202101130045, 183
202101130100, 196
202101130115, 179
202101130130, 170
202101130145, 195
202101130200, 196
202101130215, 190
202101130230, 184
202101130245, 189
202101130300, 186
202101130315, 198
202101130330, 177
202101130345, 196
202101130400, 175
202101130415, 190
202101130430, 177
202101130445, 172
202101130500, 187
202101130515, 181
202101130530, 174
202101130545, 177
202101130600, 194
202101130615, 175
202101130630, 191
202101130645, 187
202101130700, 176
202101130715, 190
202101130730, 177
202101130745, 197
202101130800, 177
202101130815, 192
202101130830, 196
202101130845, 175
202101130900, 185
202101130915, 186
202101130930, 193
202101130945, 172
202101131000, 173
202101131015, 177
202101131030, 181
202101131045, 198
202101131100, 181
202101131115, 196
202101131130, 180
202101131145, 191
202101131200, 192
202101131215, 182
202101131230, 176
202101131245, 196
202101131300, 173
202101131315, 188
202101131330, 184
202101131345, 197
202101131400, 183
202101131415, 195
202101131430, 171
202101131445, 179
202101131500, 182
202101131515, 183
202101131530, 194
202101131545, 171
202101131600, 181
202101131615, 190
202101131630, 175
202101131645, 183
202101131700, 174
202101131715, 184
202101131730, 194
202101131745, 198
202101131800, 192
202101131815, 174
202101131830, 194
202101131845, 197
202101131900, 181
202101131915, 198
202101131930, 171
202101131945, 180
202101132000, 177
202101132015, 174
202101132030, 175
202101132045, 170
202101132100, 195
202101132115, 171
202101132130, 197
202101132145, 191
202101132200, 191
202101132215, 186
202101132230, 180
202101132245, 182
202101132300, 173
202101132315, 182
202101132330, 195
202101132345, 170
202101140000, 178
202101140015, 190
202101140030, 171
202101140045, 191
202101140100, 194
202101140115, 197
202101140130, 193
202101140145, 171
202101140200, 188
202101140215, 190
202101140230, 187
202101140245, 190
202101140300, 171
202101140315, 184
202101140330, 196
202101140345, 180
202101140400, 183
202101140415, 175
202101140430, 196
202101140445, 174
202101140500, 175
202101140515, 176
202101140530, 170
202101140545, 180
202101140600, 193
202101140615, 195
202101140630, 198
202101140645, 187
202101140700, 177
202101140715, 188
202101140730, 177
202101140745, 170
202101140800, 173
202101140815, 192
202101140830, 184
202101140845, 176
202101140900, 181
202101140915, 188
202101140930, 176
202101140945, 183
202101141000, 184
202101141015, 193
202101141030, 194
202101141045, 194
202101141100, 178
202101141115, 199
202101141130, 172
202101141145, 194
202101141200, 183
202101141215, 179
202101141230, 172
202101141245, 188
202101141300, 176
202101141315, 184
202101141330, 177
202101141345, 195
202101141400, 198
202101141415, 190
202101141430, 187
202101141445, 184
202101141500, 194
202101141515, 177
202101141530, 191
202101141545, 192
202101141600, 186
202101141615, 187
202101141630, 197
202101141645, 189
202101141700, 197
202101141715, 189
202101141730, 189
202101141745, 172
202101141800, 197
202101141815, 193
202101141830, 185
202101141845, 178
202101141900, 194
202101141915, 171
202101141930, 193
202101141945, 184
202101142000, 184
202101142015, 170
202101142030, 184
202101142045, 186
202101142100, 170
202101142115, 171
202101142130, 180
202101142145, 181
202101142200, 199
202101142215, 183
202101142230, 197
202101142245, 175
202101142300, 176
202101142315, 183
202101142330, 192
202101142345, 173
202101150000, 193
202101150015, 199
202101150030, 170
202101150045, 197
202101150100, 197
202101150115, 181
202101150130, 194
202101150145, 184
202101150200, 186
202101150215, 185
202101150230, 178
202101150245, 172
202101150300, 193
202101150315, 196
202101150330, 187
202101150345, 186
202101150400, 195
202101150415, 189
202101150430, 178
202101150445, 195
202101150500, 179
202101150515, 195
202101150530, 170
202101150545, 183
202101150600, 171
202101150615, 170
202101150630, 193
202101150645, 189
202101150700, 191
202101150715, 197
202101150730, 194
202101150745, 177
202101150800, 182
202101150815, 181
202101150830, 188
202101150845, 194
202101150900, 172
202101150915, 182
202101150930, 182
202101150945, 172
202101151000, 199
202101151015, 186
202101151030, 193
202101151045, 197
202101151100, 195
202101151115, 177
202101151130, 175
202101151145, 185
202101151200, 193
202101151215, 181
202101151230, 187
202101151245, 181
202101151300, 183
202101151315, 198
202101151330, 186
202101151345, 184
202101151400, 199
202101151415, 185
202101151430, 181
202101151445, 197
202101151500, 188
202101151515, 172
202101151530, 171
202101151545, 188
202101151600, 176
202101151615, 185
202101151630, 191
202101151645, 185
202101151700, 192
202101151715, 174
202101151730, 195
202101151745, 174
202101151800, 192
202101151815, 180
202101151830, 176
202101151845, 179
202101151900, 198
202101151915, 178
202101151930, 199
202101151945, 180
202101152000, 172
202101152015, 187
202101152030, 178
202101152045, 184
202101152100, 182
202101152115, 181
202101152130, 179
202101152145, 194
202101152200, 178
202101152215, 181
202101152230, 189
202101152245, 170
202101152300, 184
202101152315, 194
202101152330, 191
202101152345, 187
202101160000, 199
202101160015, 171
202101160030, 183
202101160045, 197
202101160100, 191
202101160115, 175
202101160130, 198
202101160145, 173
202101160200, 188
202101160215, 191
202101160230, 180
202101160245, 173
202101160300, 172
202101160315, 199
202101160330, 188
202101160345, 171
202101160400, 189
202101160415, 175
202101160430, 173
202101160445, 185
202101160500, 170
202101160515, 171
202101160530, 195
202101160545, 187
202101160600, 184
202101160615, 190
202101160630, 180
202101160645, 177
202101160700, 175
202101160715, 174
202101160730, 178
202101160745, 199
202101160800, 194
202101160815, 180
202101160830, 195
202101160845, 178
202101160900, 189
202101160915, 174
202101160930, 195
202101160945, 178
202101161000, 183
202101161015, 183
202101161030, 178
202101161045, 173
202101161100, 198
202101161115, 199
202101161130, 181
202101161145, 178
202101161200, 179
202101161215, 180
202101161230, 196
202101161245, 184
202101161300, 193
202101161315, 186
202101161330, 196
202101161345, 178
202101161400, 182
202101161415, 171
202101161430, 193
202101161445, 180
202101161500, 193
202101161515, 192
202101161530, 184
202101161545, 193
202101161600, 187
202101161615, 182
202101161630, 190
202101161645, 170
202101161700, 182
202101161715, 184
202101161730, 186
202101161745, 196
202101161800, 181
202101161815, 177
202101161830, 193
202101161845, 174
202101161900, 198
202101161915, 175
202101161930, 192
202101161945, 199
202101162000, 172
202101162015, 198
202101162030, 191
202101162045, 186
202101162100, 186
202101162115, 170
202101162130, 187
202101162145, 170
202101162200, 178
202101162215, 185
202101162230, 179
202101162245, 177
202101162300, 196
202101162315, 184
202101162330, 170
202101162345, 189
202101170000, 198
202101170015, 189
202101170030, 185
202101170045, 179
202101170100, 185
202101170115, 178
202101170130, 187
202101170145, 175
202101170200, 179
202101170215, 191
202101170230, 180
202101170245, 189
202101170300, 184
202101170315, 181
202101170330, 175
202101170345, 187
202101170400, 199
202101170415, 172
202101170430, 186
202101170445, 183
202101170500, 174
202101170515, 178
202101170530, 188
202101170545, 183
202101170600, 199
202101170615, 194
202101170630, 175
202101170645, 170
202101170700, 189
202101170715, 194
202101170730, 177
202101170745, 178
202101170800, 178
202101170815, 194
202101170830, 197
202101170845, 181
202101170900, 178
202101170915, 185
202101170930, 175
202101170945, 199
202101171000, 171
202101171015, 195
202101171030, 188
202101171045, 186
202101171100, 178
202101171115, 180
202101171130, 183
202101171145, 189
202101171200, 172
202101171215, 176
202101171230, 176
202101171245, 170
202101171300, 189
202101171315, 194
202101171330, 196
202101171345, 175
202101171400, 172
202101171415, 178
202101171430, 187
202101171445, 182
202101171500, 199
202101171515, 181
202101171530, 196
202101171545, 191
202101171600, 184
202101171615, 179
202101171630, 197
202101171645, 179
202101171700, 182
202101171715, 186
202101171730, 174
202101171745, 176
202101171800, 193
202101171815, 172
202101171830, 199
202101171845, 199
202101171900, 179
202101171915, 187
202101171930, 184
202101171945, 196
202101172000, 172
202101172015, 194
202101172030, 194
202101172045, 189
202101172100, 175
202101172115, 196
202101172130, 186
202101172145, 176
202101172200, 196
202101172215, 174
202101172230, 187
202101172245, 179
202101172300, 170
202101172315, 186
202101172330, 180
202101172345, 194
202101180000, 179
202101180015, 194
202101180030, 174
202101180045, 194
202101180100, 182
202101180115, 191
202101180130, 170
202101180145, 197
202101180200, 196
202101180215, 199
202101180230, 182
202101180245, 188
202101180300, 199
202101180315, 183
202101180330, 189
202101180345, 183
202101180400, 196
202101180415, 190
202101180430, 192
202101180445, 184
202101180500, 182
202101180515, 196
202101180530, 170
202101180545, 193
202101180600, 179
202101180615, 193
202101180630, 185
202101180645, 196
202101180700, 187
202101180715, 190
202101180730, 193
202101180745, 172
202101180800, 173
202101180815, 171
202101180830, 176
202101180845, 188
202101180900, 172
202101180915, 196
202101180930, 192
202101180945, 197
202101181000, 173
202101181015, 183
202101181030, 190
202101181045, 178
202101181100, 184
202101181115, 180
202101181130, 191
202101181145, 176
202101181200, 171
202101181215, 171
202101181230, 193
202101181245, 178
202101181300, 199
202101181315, 181
202101181330, 173
202101181345, 183
202101181400, 182
202101181415, 190
202101181430, 194
202101181445, 172
202101181500, 182
202101181515, 184
202101181530, 178
202101181545, 178
202101181600, 173
202101181615, 183
202101181630, 187
202101181645, 191
202101181700, 197
202101181715, 195
202101181730, 187
202101181745, 198
202101181800, 177
202101181815, 192
202101181830, 177
202101181845, 173
202101181900, 191
202101181915, 187
202101181930, 190
202101181945, 181
202101182000, 190
202101182015, 195
202101182030, 175
202101182045, 181
202101182100, 185
202101182115, 195
202101182130, 179
202101182145, 175
202101182200, 197
202101182215, 173
202101182230, 172
202101182245, 193
202101182300, 178
202101182315, 178
202101182330, 192
202101182345, 177
202101190000, 170
202101190015, 179
202101190030, 172
202101190045, 187
202101190100, 181
202101190115, 183
202101190130, 173
202101190145, 196
202101190200, 187
202101190215, 172
202101190230, 198
